id,product_id,field,colour,size,unit_price,stock_quantity,image_url,created_at,updated_at,new_arrival
25,25,"""text text""",Black,S,1,1,https://images.unsplash.com/photo-1556821840-3a63f95609a7?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
26,26,"""text text""",Black,M,1,1,https://images.unsplash.com/photo-1556821840-3a63f95609a7?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
27,27,"""text text""",Black,L,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=High-Waist%20Compression%20Leggings,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
28,28,"""text text""",Black,XL,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Moisture-Wicking%20Training%20Tee,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
29,29,"""text text""",red,S,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Seamless%20Sports%20Bra,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
30,30,"""text text""",red,M,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Zip-Front%20Track%20Jacket,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
31,31,"""text text""",red,L,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Running%20Shorts%20with%20Liner,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
32,32,"""text text""",red,XL,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Cotton%20Jersey%20Pajama%20Set,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
33,33,"""text text""",blue,S,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Fleece%20Lounge%20Robe,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
34,34,"""text text""",blue,M,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Satin%20Sleep%20Shorts%20Set,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
35,35,"""text text""",blue,L,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Seamless%20Bikini%20Briefs%203-Pack,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
36,36,"""text text""",blue,XL,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Lace%20Trim%20Bralette,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
37,37,"""text text""",yellow,S,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Cotton%20Boxer%20Briefs%203-Pack,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
38,38,"""text text""",yellow,M,1,1,https://images.unsplash.com/photo-1602293589930-45aad59ba3ab?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
39,39,"""text text""",yellow,L,1,5,https://images.unsplash.com/photo-1602293589930-45aad59ba3ab?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
40,40,"""text text""",yellow,XL,1,5,https://images.unsplash.com/photo-1602293589930-45aad59ba3ab?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
41,41,"""text text""",white,S,1,5,https://images.unsplash.com/photo-1602293589930-45aad59ba3ab?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
42,42,"""text text""",white,M,1,5,https://images.unsplash.com/photo-1714729382668-7bc3bb261662?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
43,43,"""text text""",white,L,1,5,https://images.unsplash.com/photo-1714729382668-7bc3bb261662?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
44,44,"""text text""",white,XL,1,5,https://images.unsplash.com/photo-1714729382668-7bc3bb261662?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
45,45,"""text text""",Black,S,1,5,https://images.unsplash.com/photo-1590159983013-d4ff5fc71c1d?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
46,46,"""text text""",Black,M,1,5,https://images.unsplash.com/photo-1590159983013-d4ff5fc71c1d?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
47,47,"""text text""",Black,L,1,5,https://images.unsplash.com/photo-1590159983013-d4ff5fc71c1d?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
48,48,"""text text""",Black,XL,1,5,https://images.unsplash.com/photo-1590159983013-d4ff5fc71c1d?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
49,49,"""text text""",red,S,1,5,https://placehold.co/600x800/EFEFEF/333333.png?text=Chino%20Bermuda%20Shorts,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
50,50,"""text text""",red,M,1,5,https://placehold.co/600x800/EFEFEF/333333.png?text=Drawstring%20Sweat%20Shorts,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
51,51,"""text text""",red,L,1,5,https://placehold.co/600x800/EFEFEF/333333.png?text=Tailored%20Linen%20Shorts,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
52,52,"""text text""",red,XL,1,5,https://placehold.co/600x800/EFEFEF/333333.png?text=Pleated%20Midi%20Skirt,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
53,53,"""text text""",blue,S,1,5,https://placehold.co/600x800/EFEFEF/333333.png?text=A-Line%20Mini%20Skirt,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
54,54,"""text text""",blue,M,1,5,https://placehold.co/600x800/EFEFEF/333333.png?text=Wrap%20Style%20Maxi%20Skirt,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
55,55,"""text text""",blue,L,1,5,https://images.unsplash.com/photo-1623609163859-ca93c959b98a?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
56,56,"""text text""",blue,XL,1,5,https://images.unsplash.com/photo-1623609163859-ca93c959b98a?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
57,57,"""text text""",yellow,S,1,5,https://images.unsplash.com/photo-1623609163859-ca93c959b98a?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
58,58,"""text text""",yellow,M,1,5,https://images.unsplash.com/photo-1623609163859-ca93c959b98a?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
59,59,"""text text""",yellow,L,1,5,https://placehold.co/600x800/EFEFEF/333333.png?text=Wide%20Leg%20Utility%20Jumpsuit,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
60,60,"""text text""",yellow,XL,1,2,https://placehold.co/600x800/EFEFEF/333333.png?text=Belted%20Linen%20Romper,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
61,61,"""text text""",white,S,1,2,https://placehold.co/600x800/EFEFEF/333333.png?text=Tailored%20Tapered%20Jumpsuit,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
62,62,"""text text""",white,M,1,2,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
63,63,"""text text""",white,L,1,2,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
64,64,"""text text""",white,XL,1,2,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
65,65,"""text text""",Black,S,1,2,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
66,66,"""text text""",Black,M,1,2,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
67,67,"""text text""",Black,L,1,2,https://images.unsplash.com/photo-1560769629-975ec94e6a86?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
68,68,"""text text""",Black,XL,1,2,https://images.unsplash.com/photo-1560769629-975ec94e6a86?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
69,69,"""text text""",red,S,1,2,https://images.unsplash.com/photo-1560769629-975ec94e6a86?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
70,70,"""text text""",red,M,1,2,https://images.unsplash.com/photo-1560769629-975ec94e6a86?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
71,71,"""text text""",red,L,1,2,https://placehold.co/600x800/EFEFEF/333333.png?text=Chelsea%20Ankle%20Boots,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
72,72,"""text text""",red,XL,1,2,https://placehold.co/600x800/EFEFEF/333333.png?text=Combat%20Lace-Up%20Boots,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
73,73,"""text text""",blue,S,1,2,https://placehold.co/600x800/EFEFEF/333333.png?text=Knee-High%20Riding%20Boots,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
74,74,"""text text""",blue,M,1,2,https://placehold.co/600x800/EFEFEF/333333.png?text=Slide%20Sandals%20with%20Footbed,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
75,75,"""text text""",blue,L,1,2,https://placehold.co/600x800/EFEFEF/333333.png?text=Strappy%20Flat%20Sandals,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
76,76,"""text text""",blue,XL,1,2,https://placehold.co/600x800/EFEFEF/333333.png?text=Sporty%20Sandals%20with%20Velcro,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
77,77,"""text text""",yellow,S,1,2,https://images.unsplash.com/photo-1496747611176-843222e1e57c?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
78,78,"""text text""",yellow,M,1,2,https://images.unsplash.com/photo-1496747611176-843222e1e57c?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
79,79,"""text text""",yellow,L,1,2,https://images.unsplash.com/photo-1496747611176-843222e1e57c?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
80,80,"""text text""",yellow,XL,1,1,https://images.unsplash.com/photo-1496747611176-843222e1e57c?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
81,81,"""text text""",white,S,1,1,https://images.unsplash.com/photo-1683315565563-f72590773805?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
82,82,"""text text""",white,M,1,1,https://images.unsplash.com/photo-1683315565563-f72590773805?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
83,83,"""text text""",white,L,1,1,https://images.unsplash.com/photo-1683315565563-f72590773805?fm=jpg&q=80&w=1000&fit=crop,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
84,84,"""text text""",white,XL,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Layered%20Chain%20Necklace%20Set,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
85,85,"""text text""",Black,S,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Hoop%20Earrings%20Gold%20Tone,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
86,86,"""text text""",Black,M,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Beaded%20Stretch%20Bracelet%20Set,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
87,87,"""text text""",Black,L,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Reversible%20Leather%20Belt,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
88,88,"""text text""",Black,XL,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Woven%20Braided%20Belt,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
89,89,"""text text""",red,S,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Wide%20Waist%20Cinch%20Belt,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
90,90,"""text text""",red,M,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Structured%20Baseball%20Cap,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
91,91,"""text text""",red,L,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Wide%20Brim%20Straw%20Hat,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
92,92,"""text text""",red,XL,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Bucket%20Hat%20in%20Cotton%20Twill,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
93,93,"""text text""",blue,S,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Kids%20Graphic%20Print%20Tee,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
94,94,"""text text""",blue,M,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Kids%20Fleece%20Jogger%20Pants,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
95,95,"""text text""",blue,L,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Kids%20Zip-Up%20Hoodie,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
96,96,"""text text""",blue,XL,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Kids%20Denim%20Overalls,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
97,97,"""text text""",yellow,S,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Plus%20Size%20Wrap%20Midi%20Dress,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
98,98,"""text text""",yellow,M,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Plus%20Size%20High-Rise%20Jeans,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
99,99,"""text text""",yellow,L,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Plus%20Size%20Longline%20Cardigan,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
100,100,"""text text""",yellow,XL,1,1,https://placehold.co/600x800/EFEFEF/333333.png?text=Plus%20Size%20Tailored%20Blazer,25/7/26 17:41,25/7/26 17:41,25/7/26 17:41
